,County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Employment.Private Non-farm Employment,Employment.Private Non-farm Employment Percent Change,Employment.Private Non-farm Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone, not Hispanic or Latino",Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Housing.Units in Multi-Unit Structures,Income.Median Houseold Income,Income.Per Capita Income,Income.Persons Below Poverty Level,Miscellaneous.Building Permits,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2010 Population,Population.2014 Population,Population.Population Percent Change,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Merchant Wholesaler Sales,Sales.Retail Sales,Sales.Retail Sales per Capita,Employment.Firms.American Indian-Owned,Employment.Firms.Asian-Owned,Employment.Firms.Black-Owned,Employment.Firms.Hispanic-Owned,Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned,Employment.Firms.Total,Employment.Firms.Women-Owned
2926,Falls Church city,VA,11.4,26.6,7.3,74.4,97.3,1332,9487,1.1,865,0.5,9.3,5.3,9.5,0.1,4.3,80.6,72.3,59.4,5020,5496,660900,2.53,44.2,120000,59088,4.0,547,16.9,2.0,23.4,79.1,0,27.3,51.0,686,12332,13601,10.7,6169.1,562,0,2880,26089,0.0,0.0,0.0,0.0,0.0,1479,32.3
2826,Arlington County,VA,9.3,17.2,6.2,71.7,93.3,17539,132556,1.7,6219,0.7,10.3,9.1,15.7,0.1,3.2,76.6,62.8,45.2,94454,110601,584600,2.24,63.3,103208,62018,8.0,2160,23.0,25.97,29.0,78.9,0,27.3,49.9,12638,207627,226908,9.3,7993.6,11640,4531,24829,12176,0.6,9.5,6.0,8.0,0.0,19422,32.0
1810,Los Alamos County,NM,16.6,23.3,5.5,63.4,97.0,1044,0,0.0,377,1.3,6.4,0.7,16.7,0.1,2.5,89.0,73.6,75.4,7590,8312,284500,2.35,22.6,106686,51044,4.4,3,9.7,109.17,16.4,86.8,0,16.0,49.2,1809,17950,17682,-1.5,164.4,177,0,979,5279,0.0,2.7,0.0,6.1,0.0,1496,49.3
2915,Alexandria city,VA,10.1,17.8,7.5,61.4,91.2,13472,83411,0.1,4640,0.8,6.9,22.6,16.6,0.1,3.1,66.4,52.3,43.3,65369,75329,476700,2.17,63.1,85706,54608,8.4,1324,26.3,15.03,31.1,78.3,2845,30.5,51.6,10810,139966,150575,7.5,9314.3,4717,5257,23537,16785,0.8,7.6,14.0,6.8,0.0,15161,32.6
1205,Howard County,MD,12.2,24.6,6.0,60.0,94.9,24634,165518,5.3,8946,0.4,16.9,18.6,6.4,0.1,3.6,60.4,55.4,73.9,106142,115311,428100,2.74,24.7,109865,48172,4.6,1446,18.2,250.74,22.5,88.9,23683,30.6,51.0,18971,287085,309284,7.7,1144.9,5656,71708,45549,16622,0.6,13.5,14.9,2.6,0.0,30899,30.1
1858,New York County,NY,14.4,14.7,5.2,58.9,86.0,219326,2116201,2.6,105439,1.2,12.5,18.3,25.9,0.2,3.2,64.7,47.1,22.8,736192,867609,828100,2.1,98.5,69659,62498,17.7,5380,28.5,22.83,40.4,83.7,83150,30.3,52.8,41775,1585873,1636268,3.2,69467.5,171825,1087574,387975,23872,0.6,11.9,8.7,10.5,0.0,307128,30.6
2848,Fairfax County,VA,11.5,23.8,6.7,58.6,91.8,97330,584523,1.0,29556,0.7,19.2,10.0,16.4,0.1,3.5,66.6,52.0,69.0,389908,410287,476600,2.8,27.9,110292,50532,5.9,2249,29.5,390.97,37.3,85.7,20526,32.0,50.5,83545,1081726,1137538,5.2,2766.8,27057,132994,140023,13925,0.4,17.3,7.0,8.8,0.1,109512,31.3
250,Boulder County,CO,12.2,20.3,5.0,58.3,93.9,35710,139136,0.9,11696,0.8,4.5,1.1,13.8,0.1,2.6,90.8,78.3,63.1,120521,130938,350900,2.42,28.9,67956,38011,14.2,1371,10.9,726.29,16.5,76.2,38558,22.7,49.8,15432,294567,313333,6.4,405.6,6689,27821,40392,13660,0.5,2.4,0.5,3.5,0.0,42506,30.2
2872,Loudoun County,VA,7.9,29.4,7.7,57.9,93.8,27410,134845,3.6,8987,0.5,17.3,7.8,13.4,0.1,3.5,70.7,58.8,77.7,106997,123150,437700,3.04,16.4,122238,46565,3.6,3480,22.8,515.56,29.6,87.9,14001,33.1,50.4,20436,312311,363050,16.2,605.8,6101,14919,44695,16109,0.6,13.0,5.0,6.9,0.1,28697,31.7
1207,Montgomery County,MD,13.7,23.5,6.5,57.1,91.2,103731,419956,1.5,26739,0.7,15.2,18.8,18.7,0.1,3.2,62.0,46.0,67.3,360563,385721,446300,2.72,33.2,98221,49038,6.7,3839,32.2,491.25,39.1,85.8,32641,34.2,51.8,48402,971777,1030447,6.0,1978.2,18727,74266,132557,14080,0.7,12.1,12.4,10.0,0.1,115471,32.4
293,Pitkin County,CO,15.6,16.3,3.7,56.8,96.0,3528,16314,3.1,1559,0.5,1.4,0.8,9.9,0.1,1.5,95.7,86.5,68.7,7507,13039,611200,2.27,38.8,72745,51814,10.1,98,12.2,970.7,16.5,84.2,0,17.0,47.6,950,17148,17626,2.8,17.7,2708,646,3995,26461,0.0,0.0,0.0,2.9,0.0,5100,26.5
262,Douglas County,CO,9.9,28.3,6.3,55.8,97.5,28689,91934,5.2,8040,0.5,4.3,1.4,8.3,0.1,2.4,91.3,83.9,80.9,103780,113777,335600,2.82,15.8,101591,43634,3.9,3230,6.4,840.25,8.8,85.4,19508,27.7,50.3,19635,285465,314638,10.2,339.7,4350,0,37654,13846,0.0,2.4,0.0,3.1,0.0,32992,27.7
1957,Orange County,NC,11.2,20.4,4.7,55.8,91.0,12185,38205,1.6,3092,0.6,7.7,12.2,8.4,0.1,2.5,76.8,69.6,60.5,51403,56488,272600,2.45,28.2,55569,34465,17.8,304,12.8,397.96,15.9,76.5,0,22.0,52.2,5892,133801,140420,5.0,336.2,2756,5805,11952,9583,0.9,2.8,6.4,0.0,0.0,12898,35.5
725,Hamilton County,IN,10.4,28.5,6.8,55.1,96.3,24778,114197,3.6,8081,0.2,5.6,4.1,3.8,0.1,1.8,88.2,84.9,79.2,103234,116286,215600,2.73,15.9,82468,39521,5.1,3684,7.2,394.27,9.3,86.9,15699,26.5,51.2,15778,274569,302623,10.2,696.4,4371,27794,32954,12582,0.0,3.1,1.8,1.4,0.0,28209,27.6
206,Marin County,CA,19.4,20.5,4.8,54.6,92.4,36468,98110,4.0,9654,1.1,6.1,2.9,16.0,0.3,3.7,86.0,72.2,62.8,102912,112295,781900,2.39,26.9,90839,56791,7.7,390,19.0,520.31,23.0,85.0,3972,28.6,51.2,15439,252409,260750,3.3,485.1,6265,23730,45893,18648,0.0,0.0,0.9,0.0,0.0,42712,33.9
270,Gunnison County,CO,11.2,17.9,4.8,54.5,93.3,2243,6056,-1.6,1053,2.5,0.7,0.5,9.3,0.0,1.8,94.5,87.5,59.1,6293,11574,329500,2.27,28.3,52332,27654,17.7,58,4.3,3239.1,9.2,73.3,0,13.4,45.9,1031,15324,15725,2.6,4.7,896,0,2115,14116,0.0,0.0,0.0,0.0,0.0,3300,21.3
301,San Miguel County,CO,10.4,18.9,4.7,53.5,96.1,1660,4430,3.2,614,1.4,0.9,0.7,9.6,0.1,1.6,95.3,87.1,64.4,3234,6736,448000,2.31,41.7,63594,40827,10.6,36,8.4,1286.61,10.0,78.8,0,19.3,46.9,396,7359,7840,6.5,5.7,771,0,978,13114,0.0,0.0,0.0,3.1,0.0,2294,23.3
2521,Williamson County,TN,11.6,28.1,5.8,52.8,94.6,22194,100666,4.5,6227,0.3,3.7,4.5,4.7,0.1,1.4,90.0,85.6,81.3,66364,73793,334900,2.84,12.3,89779,41292,5.7,1902,5.9,582.6,7.5,87.3,11068,26.7,51.2,9342,183182,205226,12.0,314.4,3834,27559,33069,19834,0.0,1.4,2.2,1.4,0.0,25339,22.5
223,San Francisco County,CA,14.4,13.4,4.6,52.4,86.3,89078,542366,3.8,32360,0.8,34.9,5.8,15.3,0.5,4.2,53.8,41.2,36.6,345344,386564,744600,2.31,67.7,75604,48486,13.5,2711,35.6,46.87,45.0,84.1,20774,30.5,49.1,29478,805235,852469,5.9,17179.1,50391,105621,123999,15516,0.0,24.0,2.7,6.6,0.2,105030,30.1
319,District of Columbia,DC,11.3,17.5,6.5,52.4,88.4,52262,491130,1.7,21919,0.6,4.0,49.0,10.4,0.2,2.6,43.6,35.8,42.1,263649,306174,445200,2.2,62.3,65830,45290,18.6,4189,13.8,61.05,15.8,80.6,3328,29.7,52.6,30520,601723,658893,9.5,9856.6,42781,21179,38437,6555,0.9,5.9,28.2,6.1,0.0,55887,34.5
2821,Albemarle County,VA,16.5,21.0,5.5,52.2,91.4,8591,37158,0.6,2569,0.4,4.9,9.9,5.7,0.1,2.5,82.3,77.5,66.1,37964,43924,319200,2.47,23.8,67725,37239,10.2,404,9.8,720.7,11.3,83.3,3071,22.2,52.2,6838,98970,104489,5.5,137.3,1201,5305,16893,18213,0.0,3.1,5.8,1.7,0.0,9876,28.3
2925,Fairfax city,VA,15.4,23.5,9.0,51.9,92.0,2866,29657,8.1,2207,0.8,17.0,5.4,16.6,0.1,3.4,73.3,58.8,68.4,8492,8810,456700,2.65,23.7,97242,44345,7.2,54,25.2,6.24,31.8,81.7,0,31.7,50.7,1752,22565,24483,8.6,3616.8,1402,1922,18840,80800,0.0,22.1,4.1,8.9,0.0,5919,28.7
933,Johnson County,KS,12.7,25.3,6.7,51.7,95.6,46526,314916,3.3,17242,0.4,4.7,5.0,7.4,0.0,2.4,87.5,80.7,70.1,216304,233182,210900,2.53,22.7,74717,38827,6.5,2689,8.1,473.38,11.2,84.7,78476,20.7,51.0,33775,544179,574272,5.5,1149.6,10829,162520,92553,17598,0.8,3.3,2.1,1.9,0.0,57046,28.3
1311,Washtenaw County,MI,12.0,19.7,5.3,51.3,94.0,27876,143487,3.3,7971,0.4,8.7,12.8,4.4,0.1,3.3,74.6,71.0,60.8,135800,148470,198400,2.42,33.0,59055,33231,15.4,570,11.4,705.97,14.2,77.1,53317,23.0,50.7,16860,344791,356874,3.4,488.4,6135,36309,36810,10584,0.0,4.9,7.5,0.0,0.0,32615,33.1
840,Johnson County,IA,9.9,20.4,6.2,51.1,94.8,8843,59466,3.6,3186,0.3,6.0,5.9,5.5,0.0,2.4,85.4,80.6,59.7,54005,58783,186000,2.33,34.8,53424,29592,17.7,1080,9.3,614.04,13.3,73.4,0,18.2,50.2,6630,130882,142287,8.7,213.1,2587,5676,16530,13168,0.0,2.4,1.8,1.6,0.0,9323,26.7
1791,Somerset County,NJ,14.1,23.2,5.5,51.1,93.2,25267,184467,0.8,9925,0.3,16.6,9.9,14.2,0.1,1.9,71.2,58.7,78.0,115531,126015,398800,2.79,25.3,99020,47803,5.0,1310,23.3,301.81,29.6,92.2,64015,31.7,51.3,13757,323444,332568,2.8,1071.7,6561,146345,57559,17946,0.0,11.1,5.7,6.4,0.0,32225,27.5
